host_original	host_clean	species	genus	family	order	class	phylum	kingdom
Triaenops menamena; FMNH 218069; male	Triaenops menamena	Triaenops menamena	Triaenops	Rhinonycteridae	Chiroptera	Mammalia	Chordata	Metazoa
Triaenops menamena; FMNH 218064; male	Triaenops menamena	Triaenops menamena	Triaenops	Rhinonycteridae	Chiroptera	Mammalia	Chordata	Metazoa
Triaenops menamena; UADBA 50149; male	Triaenops menamena	Triaenops menamena	Triaenops	Rhinonycteridae	Chiroptera	Mammalia	Chordata	Metazoa
Triaenops menamena; UADBA 50147; male	Triaenops menamena	Triaenops menamena	Triaenops	Rhinonycteridae	Chiroptera	Mammalia	Chordata	Metazoa
Triaenops menamena; UADBA 50148; male	Triaenops menamena	Triaenops menamena	Triaenops	Rhinonycteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus sororculus; FMNH 218037; female	Miniopterus sororculus	Miniopterus sororculus	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus sororculus; FMNH 218034; female	Miniopterus sororculus	Miniopterus sororculus	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus sororculus; UADBA 50344; female	Miniopterus sororculus	Miniopterus sororculus	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus mahafaliensis; FMNH 218028; male	Miniopterus mahafaliensis	Miniopterus mahafaliensis	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus manavi; UADBA 33041; male	Miniopterus manavi	Miniopterus manavi	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus manavi; UADBA 33039; male	Miniopterus manavi	Miniopterus manavi	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus manavi; UADBA 33038; male	Miniopterus manavi	Miniopterus manavi	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus manavi; UADBA 33036; male	Miniopterus manavi	Miniopterus manavi	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus manavi; UADBA 33034; male	Miniopterus manavi	Miniopterus manavi	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus manavi; UADBA 33033; male	Miniopterus manavi	Miniopterus manavi	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus manavi; FMNH 221429; male	Miniopterus manavi	Miniopterus manavi	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus manavi; FMNH 221428; male	Miniopterus manavi	Miniopterus manavi	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus mahafaliensis; UADBA 50159; male	Miniopterus mahafaliensis	Miniopterus mahafaliensis	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus mahafaliensis; FMNH 218040; male	Miniopterus mahafaliensis	Miniopterus mahafaliensis	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus gleni; UADBA 50170; male	Miniopterus gleni	Miniopterus gleni	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus gleni; UADBA 50174; male	Miniopterus gleni	Miniopterus gleni	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus gleni; UADBA 50171; male	Miniopterus gleni	Miniopterus gleni	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
spotted dove	Spilopelia chinensis	Spilopelia chinensis	Spilopelia	Columbidae	Columbiformes	Aves	Chordata	Metazoa
feral pigeon	Columba livia	Columba livia	Columba	Columbidae	Columbiformes	Aves	Chordata	Metazoa
white eye	Zosteropidae	NA	NA	Zosteropidae	Passeriformes	Aves	Chordata	Metazoa
house crow	Corvus splendens	Corvus splendens	Corvus	Corvidae	Passeriformes	Aves	Chordata	Metazoa
Phrynocephalus theobaldi	Phrynocephalus theobaldi	Phrynocephalus theobaldi	Phrynocephalus	Agamidae	Squamata	Lepidosauria	Chordata	Metazoa
Phrynocephalus erythrurus	Phrynocephalus erythrurus	Phrynocephalus erythrurus	Phrynocephalus	Agamidae	Squamata	Lepidosauria	Chordata	Metazoa
Eptesicus regulus	Eptesicus regulus	Vespadelus regulus	Vespadelus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Muscovy-duck	Muscovy-duck	Cairina moschata	Cairina	Anatidae	Anseriformes	Aves	Chordata	Metazoa
mice	Mus musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Vespula vulgaris	Vespula vulgaris	Vespula vulgaris	Vespula	Vespidae	Hymenoptera	Insecta	Arthropoda	Metazoa
Mormopterus francoismoutoui (Reunion Free-tailed Bat)	Mormopterus francoismoutoui	Mormopterus francoismoutoui	Mormopterus	Molossidae	Chiroptera	Mammalia	Chordata	Metazoa
Macaca mulatta	Macaca mulatta	Macaca mulatta	Macaca	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa
Arenaria interpres (ruddy turnstone)	Arenaria interpres	Arenaria interpres	Arenaria	Scolopacidae	Charadriiformes	Aves	Chordata	Metazoa
Rhinolophus thomasi; mixed sex	Rhinolophus thomasi	Rhinolophus thomasi	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Roussetus leschenaulti; mixed sex	Roussetus leschenaulti	Roussetus leschenaulti	Roussetus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
marmot	Marmota	NA	Marmota	Sciuridae	Rodentia	Mammalia	Chordata	Metazoa
Rattus norvegicus (Norway rat)	Rattus norvegicus	Rattus norvegicus	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Odobenus rosmarus	Odobenus rosmarus	Odobenus rosmarus	Odobenus	Odobenidae	Carnivora	Mammalia	Chordata	Metazoa
Myotis daubentonii	Myotis daubentonii	Myotis daubentonii	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Zalophus californianus	Zalophus californianus	Zalophus californianus	Zalophus	Otariidae	Carnivora	Mammalia	Chordata	Metazoa
Helianthus niveus	Helianthus niveus	Helianthus niveus	Helianthus	Asteraceae	Asterales	Magnoliopsida	Streptophyta	Viridiplantae
Vespertilio murinus	Vespertilio murinus	Vespertilio murinus	Vespertilio	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Nyctaus noctula	Nyctalus noctula	Nyctalus noctula	Nyctalus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Plecotus auritus	Plecotus auritus	Plecotus auritus	Plecotus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Pipistrellus sp. pipistrellus/pygmaeus AO-2021	Pipistrellus sp. pipistrellus/pygmaeus AO-2021	Pipistrellus sp.	Pipistrellus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Melanotaenia fluviatilis	Melanotaenia fluviatilis	Melanotaenia fluviatilis	Melanotaenia	Melanotaeniidae	Atheriniformes	Actinopteri	Chordata	Metazoa
Gambusia holbrooki	Gambusia holbrooki	Gambusia holbrooki	Gambusia	Poeciliidae	Cyprinodontiformes	Actinopteri	Chordata	Metazoa
Leiopotherapon unicolor	Leiopotherapon unicolor	Leiopotherapon unicolor	Leiopotherapon	Terapontidae	Centrarchiformes	Actinopteri	Chordata	Metazoa
water buffalo	Bubalus bubalis	Bubalus bubalis	Bubalus	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Neovison vison	Neovison vison	Neogale vison	Neogale	Mustelidae	Carnivora	Mammalia	Chordata	Metazoa
Jinding ducks	Anas platyrhynchos	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Desmodus rotundus	Desmodus rotundus	Desmodus rotundus	Desmodus	Phyllostomidae	Chiroptera	Mammalia	Chordata	Metazoa
Meleagris gallopavo	Meleagris gallopavo	Meleagris gallopavo	Meleagris	Phasianidae	Galliformes	Aves	Chordata	Metazoa
Homo sapiens; 2 years 2 months old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 2 years old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 1 year 9 months old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 2 years 6 months old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 36 years old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 2 years 5 months old; male	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 1 year 10 months old; male	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 2 years 3 months old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 1 year 11 months old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 1 year 5 months old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 1 year 3 months old; male	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 1 year 3 months old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 5 months old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 1 year old; male	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 1 year old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 7 months old; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; 11 months old; male	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; infant (<5 years)	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; infant	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Chelidonichthys cuculus	Chelidonichthys cuculus	Chelidonichthys cuculus	Chelidonichthys	Triglidae	Perciformes	Actinopteri	Chordata	Metazoa
Zeus faber	Zeus faber	Zeus faber	Zeus	Zeidae	Zeiformes	Actinopteri	Chordata	Metazoa
Platycephalus richardsoni	Platycephalus richardsoni	Platycephalus richardsoni	Platycephalus	Platycephalidae	Perciformes	Actinopteri	Chordata	Metazoa
Helicolenus barathri	Helicolenus barathri	Helicolenus barathri	Helicolenus	Sebastidae	Perciformes	Actinopteri	Chordata	Metazoa
Rattus annandalei	Rattus annandalei	Sundamys annandalei	Sundamys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Mus musculus castaneus	Mus musculus castaneus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Callosciurus notatus	Callosciurus notatus	Callosciurus notatus	Callosciurus	Sciuridae	Rodentia	Mammalia	Chordata	Metazoa
Tupaia glis	Tupaia glis	Tupaia glis	Tupaia	Tupaiidae	Scandentia	Mammalia	Chordata	Metazoa
Gallus gallus broiler chicken	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
Landaise goose	Landaise goose	Anser sp.	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Vulpes vulpes	Vulpes vulpes	Vulpes vulpes	Vulpes	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Pipistrellus kuhlii	Pipistrellus kuhlii	Pipistrellus kuhlii	Pipistrellus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Artibeus planirostris	Artibeus planirostris	Artibeus planirostris	Artibeus	Phyllostomidae	Chiroptera	Mammalia	Chordata	Metazoa
Anas castanea	Anas castanea	Anas castanea	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Anas superciliosa	Anas superciliosa	Anas superciliosa	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Sus Scrofa	Sus Scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Mandrillus sphinx	Mandrillus sphinx	Mandrillus sphinx	Mandrillus	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa
Bubalus bubalis	Bubalus bubalis	Bubalus bubalis	Bubalus	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
us musculus	Mus musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
guinea pig	Cavia porcellus	Cavia porcellus	Cavia	Caviidae	Rodentia	Mammalia	Chordata	Metazoa
mouse	Mus musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Mus musculus; Rag2-/-Il2rg-/- genotype	Mus musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Tadarida brasiliensis bat	Tadarida brasiliensis bat	Tadarida brasiliensis	Tadarida	Molossidae	Chiroptera	Mammalia	Chordata	Metazoa
Pan troglodytes (chimpanzee)	Pan troglodytes	Pan troglodytes	Pan	Hominidae	Primates	Mammalia	Chordata	Metazoa
Solanum melongena L.	Solanum melongena	Solanum melongena	Solanum	Solanaceae	Solanales	Magnoliopsida	Streptophyta	Viridiplantae
grey squirrel	Sciurus	NA	Sciurus	Sciuridae	Rodentia	Mammalia	Chordata	Metazoa
Sus scrofa domestica (domestic swine)	Sus scrofa domestica	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Bos taurus breed Marchigiana	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Eidolon helvum	Eidolon helvum	Eidolon helvum	Eidolon	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
white-tailed deer	Odocoileus virginianus	Odocoileus virginianus	Odocoileus	Cervidae	Artiodactyla	Mammalia	Chordata	Metazoa
Macroglossus sobrinus	Macroglossus sobrinus	Macroglossus sobrinus	Macroglossus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinosciurus laticaudatus	Rhinosciurus laticaudatus	Rhinosciurus laticaudatus	Rhinosciurus	Sciuridae	Rodentia	Mammalia	Chordata	Metazoa
Sundamys infraluteus	Sundamys infraluteus	Sundamys infraluteus	Sundamys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Rousettus amplexicaudatus	Rousettus amplexicaudatus	Rousettus amplexicaudatus	Rousettus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Balionycteris maculata	Balionycteris maculata	Balionycteris maculata	Balionycteris	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Macaca nemestrina	Macaca nemestrina	Macaca nemestrina	Macaca	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa
Macaca fascicularis	Macaca fascicularis	Macaca fascicularis	Macaca	Cercopithecidae	Primates	Mammalia	Chordata	Metazoa
Arenaria interpres	Arenaria interpres	Arenaria interpres	Arenaria	Scolopacidae	Charadriiformes	Aves	Chordata	Metazoa
Accipiter nisus (Eurasian sparrowhawk)	Accipiter nisus	Accipiter nisus	Accipiter	Accipitridae	Accipitriformes	Aves	Chordata	Metazoa
Pteropus alecto	Pteropus alecto	Pteropus alecto	Pteropus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Acerodon celebensis	Acerodon celebensis	Acerodon celebensis	Acerodon	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Eothenomys cachinus	Eothenomys cachinus	Eothenomys eleusis	Eothenomys	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa
Rhizomys sinensis	Rhizomys sinensis	Rhizomys sinensis	Rhizomys	Spalacidae	Rodentia	Mammalia	Chordata	Metazoa
Hystrix brachyura	Hystrix brachyura	Hystrix brachyura	Hystrix	Hystricidae	Rodentia	Mammalia	Chordata	Metazoa
Crocidura sp.	Crocidura	NA	Crocidura	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Sorex sp.	Sorex	NA	Sorex	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Ochotona thibetana	Ochotona thibetana	Ochotona thibetana	Ochotona	Ochotonidae	Lagomorpha	Mammalia	Chordata	Metazoa
Niviventer eha	Niviventer eha	Niviventer eha	Niviventer	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Akodon cursor	Akodon cursor	Akodon cursor	Akodon	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa
Sturnira lilium	Sturnira lilium	Sturnira lilium	Sturnira	Phyllostomidae	Chiroptera	Mammalia	Chordata	Metazoa
Artibeus lituratus	Artibeus lituratus	Artibeus lituratus	Artibeus	Phyllostomidae	Chiroptera	Mammalia	Chordata	Metazoa
Carollia perspicillata	Carollia perspicillata	Carollia perspicillata	Carollia	Phyllostomidae	Chiroptera	Mammalia	Chordata	Metazoa
Anoura caudifer	Anoura caudifer	Anoura caudifer	Anoura	Phyllostomidae	Chiroptera	Mammalia	Chordata	Metazoa
Hipposideros commersoni	Hipposideros commersoni	Macronycteris commersonii	Macronycteris	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Myonycteris angolensis	Myonycteris angolensis	Myonycteris angolensis	Myonycteris	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Nycteris hispida	Nycteris hispida	Nycteris hispida	Nycteris	Nycteridae	Chiroptera	Mammalia	Chordata	Metazoa
Mus musculoides	Mus musculoides	Mus musculoides	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Praomys tullbergi	Praomys tullbergi	Praomys tullbergi	Praomys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Crocidura goliath	Crocidura goliath	Crocidura goliath	Crocidura	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Hylomyscus sp.	Hylomyscus	NA	Hylomyscus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Heimyscus fumosus	Heimyscus fumosus	Heimyscus fumosus	Heimyscus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Malacomys longipes	Malacomys longipes	Malacomys longipes	Malacomys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Hylomyscus stella	Hylomyscus stella	Hylomyscus stella	Hylomyscus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Miniopterus magnater	Miniopterus magnater	Miniopterus magnater	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus coelophyllus	Rhinolophus coelophyllus	Rhinolophus coelophyllus	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Rattus exulans	Rattus exulans	Rattus exulans	Rattus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Hipposideros lekaguli	Hipposideros lekaguli	Hipposideros lekaguli	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Rhinolophus shameli	Rhinolophus shameli	Rhinolophus shameli	Rhinolophus	Rhinolophidae	Chiroptera	Mammalia	Chordata	Metazoa
Myotis horsfieldii	Myotis horsfieldii	Myotis horsfieldii	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Bandicota bengalensis	Bandicota bengalensis	Bandicota bengalensis	Bandicota	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Chaerephon pumilus	Chaerephon pumilus	Mops pumilus	Mops	Molossidae	Chiroptera	Mammalia	Chordata	Metazoa
Praomys sp.	Praomys	NA	Praomys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Mastomys sp.	Mastomys	NA	Mastomys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Triaenops persicus	Triaenops persicus	Triaenops persicus	Triaenops	Rhinonycteridae	Chiroptera	Mammalia	Chordata	Metazoa
Chiroptera	Chiroptera	NA	NA	NA	Chiroptera	Mammalia	Chordata	Metazoa
Tadarida sp.	Tadarida	NA	Tadarida	Molossidae	Chiroptera	Mammalia	Chordata	Metazoa
Apodemus sylvaticus	Apodemus sylvaticus	Apodemus sylvaticus	Apodemus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Mastomys natalensis	Mastomys natalensis	Mastomys natalensis	Mastomys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Hipposideros ruber	Hipposideros ruber	Hipposideros ruber	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Parahypsugo crassulus	Parahypsugo crassulus	Afropipistrellus crassulus	Afropipistrellus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Triaenops afer	Triaenops afer	Triaenops afer	Triaenops	Rhinonycteridae	Chiroptera	Mammalia	Chordata	Metazoa
Pteropus giganteus	Pteropus giganteus	Pteropus vampyrus	Pteropus	Pteropodidae	Chiroptera	Mammalia	Chordata	Metazoa
Gallus gallus (broiler)	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
roe deer	Capreolus capreolus	Capreolus capreolus	Capreolus	Cervidae	Artiodactyla	Mammalia	Chordata	Metazoa
Homo sapiens 4-year-old boy	Homo sapiens 4-year-old	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 9 months	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: F; age: 3 months	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 6 months	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 3 months	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Microtus agrestis	Microtus agrestis	Microtus agrestis	Microtus	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa
Cricetomys gambianus	Cricetomys gambianus	Cricetomys gambianus	Cricetomys	Nesomyidae	Rodentia	Mammalia	Chordata	Metazoa
broiler chicken	Gallus gallus	Gallus gallus	Gallus	Phasianidae	Galliformes	Aves	Chordata	Metazoa
Amur tiger	Panthera tigris altaica	Panthera tigris	Panthera	Felidae	Carnivora	Mammalia	Chordata	Metazoa
domestic cat with diarrhea	Felis catus	Felis catus	Felis	Felidae	Carnivora	Mammalia	Chordata	Metazoa
health cat	Felis catus	Felis catus	Felis	Felidae	Carnivora	Mammalia	Chordata	Metazoa
stool	stool	NA	NA	NA	NA	NA	NA	NA
Culex sp. (mosquito)	Culex	NA	Culex	Culicidae	Diptera	Insecta	Arthropoda	Metazoa
Mus_musculus	Mus_musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Malacorhynchus membranaceus	Malacorhynchus membranaceus	Malacorhynchus membranaceus	Malacorhynchus	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Calidris ruficollis	Calidris ruficollis	Calidris ruficollis	Calidris	Scolopacidae	Charadriiformes	Aves	Chordata	Metazoa
Homo sapiens; sex: F; age: 9 months	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: F; age: 23 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 20 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: F; age: 26 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: F; age: 28 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: F; age: 47 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: F; age: 35 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: F; age: 15 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: F; age: 21 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 28 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 21 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 30 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: F; age: 24 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Steer	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Taphozous perforatus	Taphozous perforatus	Taphozous perforatus	Taphozous	Emballonuridae	Chiroptera	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 19 Y	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
gosling	Anser anser	Anser anser	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Passeriformes	Passeriformes	NA	NA	NA	Passeriformes	Aves	Chordata	Metazoa
Miniopterus schreibersi	Miniopterus schreibersi	Miniopterus schreibersii	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Scotomannes kuhlii	Scotophilus kuhli	Scotophilus kuhli	Scotophilus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Hipposideros turpis	Hipposideros turpis	Hipposideros turpis	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
Coracias garrulus (European roller)	Coracias garrulus	Coracias garrulus	Coracias	Coraciidae	Coraciiformes	Aves	Chordata	Metazoa
Homo sapiens; female	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Mus musculus; CD1 Nude	Mus musculus	Mus musculus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Canine lupus familaris	Canine lupus familaris	Canis lupus	Canis	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Sarcophilus harrisii	Sarcophilus harrisii	Sarcophilus harrisii	Sarcophilus	Dasyuridae	Dasyuromorphia	Mammalia	Chordata	Metazoa
Homo sapiens; sex:F; age:63	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex:F; age:1	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex:F; age:27	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age:63	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
yak	Bos grunniens	Bos grunniens	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 11 months	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 5 months	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
Homo sapiens; sex: M; age: 2 months	Homo sapiens	Homo sapiens	Homo	Hominidae	Primates	Mammalia	Chordata	Metazoa
