host_original	host_clean	species	genus	family	order	class	phylum	kingdom
Urocricetus kamensis	Urocricetus kamensis	Urocricetus kamensis	Urocricetus	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa
sheep	Ovis aries	Ovis aries	Ovis	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Bactrian camel	Camelus bactrianus	Camelus bactrianus	Camelus	Camelidae	Artiodactyla	Mammalia	Chordata	Metazoa
Vulpes vulpes (fox)	Vulpes vulpes	Vulpes vulpes	Vulpes	Canidae	Carnivora	Mammalia	Chordata	Metazoa
Su. murinus	Suncus murinus	Suncus murinus	Suncus	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
goat; Mixed breed	Capra hircus	Capra hircus	Capra	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Myotis ciliolabrum	Myotis ciliolabrum	Myotis ciliolabrum	Myotis	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Leucogeranus leucogeranus	Leucogeranus leucogeranus	Leucogeranus leucogeranus	Leucogeranus	Gruidae	Gruiformes	Aves	Chordata	Metazoa
Anser sp.	Anser	NA	Anser	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Crocidura dracula	Crocidura dracula	Crocidura dracula	Crocidura	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Anourosorex squamipes	Anourosorex squamipes	Anourosorex squamipes	Anourosorex	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Episoriculus caudatus	Episoriculus caudatus	Episoriculus caudatus	Episoriculus	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Crocidura suaveolens	Crocidura suaveolens	Crocidura suaveolens	Crocidura	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Uropsilus gracilis	Uropsilus gracilis	Uropsilus gracilis	Uropsilus	Talpidae	Eulipotyphla	Mammalia	Chordata	Metazoa
Crocidura attenuata	Crocidura attenuata	Crocidura attenuata	Crocidura	Soricidae	Eulipotyphla	Mammalia	Chordata	Metazoa
cat	Felis catus	Felis catus	Felis	Felidae	Carnivora	Mammalia	Chordata	Metazoa
Dicentrarchus labrax	Dicentrarchus labrax	Dicentrarchus labrax	Dicentrarchus	Moronidae	NA	Actinopteri	Chordata	Metazoa
Sus scrofa domesticus	Sus scrofa domesticus	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Sus scrofa (wild boar)	Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Marmota sibirica	Marmota sibirica	Marmota sibirica	Marmota	Sciuridae	Rodentia	Mammalia	Chordata	Metazoa
Botrylloides leachii	Botrylloides leachii	Botrylloides leachii	Botrylloides	Styelidae	Stolidobranchia	Ascidiacea	Chordata	Metazoa
Cebus cuscinus	Cebus cuscinus	Cebus cuscinus	Cebus	Cebidae	Primates	Mammalia	Chordata	Metazoa
Cricetulus longicaudatus	Cricetulus longicaudatus	Cricetulus longicaudatus	Cricetulus	Cricetidae	Rodentia	Mammalia	Chordata	Metazoa
Ateles chamek	Ateles chamek	Ateles chamek	Ateles	Atelidae	Primates	Mammalia	Chordata	Metazoa
porcine	Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
Tufted duck	Tufted duck	Aythya fuligula	Aythya	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Gadwall	Gadwall	Mareca strepera	Mareca	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Meleagris gallopavo domesticus	Meleagris gallopavo	Meleagris gallopavo	Meleagris	Phasianidae	Galliformes	Aves	Chordata	Metazoa
Pig	Sus scrofa	Sus scrofa	Sus	Suidae	Artiodactyla	Mammalia	Chordata	Metazoa
cattle	Bos taurus	Bos taurus	Bos	Bovidae	Artiodactyla	Mammalia	Chordata	Metazoa
Tursiops truncatus (Bottlenose dolphin)	Tursiops truncatus	Tursiops truncatus	Tursiops	Delphinidae	Artiodactyla	Mammalia	Chordata	Metazoa
Eumetopias jubatus (Steller sea lion)	Eumetopias jubatus	Eumetopias jubatus	Eumetopias	Otariidae	Carnivora	Mammalia	Chordata	Metazoa
Zalophus californianus (California sea lion)	Zalophus californianus	Zalophus californianus	Zalophus	Otariidae	Carnivora	Mammalia	Chordata	Metazoa
Hipposideros armiger	Hipposideros armiger	Hipposideros armiger	Hipposideros	Hipposideridae	Chiroptera	Mammalia	Chordata	Metazoa
duck	Anas platyrhynchos	Anas platyrhynchos	Anas	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Muscovy duck	Cairina moschata	Cairina moschata	Cairina	Anatidae	Anseriformes	Aves	Chordata	Metazoa
Phocarctos hookeri (New Zealand sea lion)	Phocarctos hookeri	Phocarctos hookeri	Phocarctos	Otariidae	Carnivora	Mammalia	Chordata	Metazoa
rook	Corvus frugilegus	Corvus frugilegus	Corvus	Corvidae	Passeriformes	Aves	Chordata	Metazoa
Eurasian tree sparrow	Eurasian tree sparrow	Passer montanus	Passer	Passeridae	Passeriformes	Aves	Chordata	Metazoa
hooded crow	Corvus cornix	Corvus cornix	Corvus	Corvidae	Passeriformes	Aves	Chordata	Metazoa
Scotophilus dinganii; sex: male	Scotophilus dinganii	Scotophilus dinganii	Scotophilus	Vespertilionidae	Chiroptera	Mammalia	Chordata	Metazoa
Miniopterus fraterculus; sex: male	Miniopterus fraterculus	Miniopterus fraterculus	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Neogale vison	Neogale vison	Neogale vison	Neogale	Mustelidae	Carnivora	Mammalia	Chordata	Metazoa
Praomys rostratus	Praomys rostratus	Praomys rostratus	Praomys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Mus setulosus	Mus setulosus	Mus setulosus	Mus	Muridae	Rodentia	Mammalia	Chordata	Metazoa
Miniopterus inflatus	Miniopterus inflatus	Miniopterus inflatus	Miniopterus	Miniopteridae	Chiroptera	Mammalia	Chordata	Metazoa
Mastomys erythroleucus	Mastomys erythroleucus	Mastomys erythroleucus	Mastomys	Muridae	Rodentia	Mammalia	Chordata	Metazoa
