GBAC,1A,1A-chain,1B,1B-chain,2,2-chain
PP872119,NA-NA,NA,0-1428,1,1420-3856,1
PP872118,0-1077,1,NA-NA,NA,NA-NA,NA
PP872117,NA-NA,NA,NA-NA,NA,0-2049,1
PP872116,NA-NA,NA,NA-NA,NA,0-1752,1
PP872115,NA-NA,NA,NA-NA,NA,0-963,1
PP872114,NA-NA,NA,NA-NA,NA,0-777,1
PP872113,NA-NA,NA,NA-NA,NA,0-993,1
PP872112,0-1164,1,NA-NA,NA,NA-NA,NA
PP872111,NA-NA,NA,0-2226,1,NA-NA,NA
PP872110,2-1445,1,NA-NA,NA,NA-NA,NA
PP872109,0-2550,1,NA-NA,NA,NA-NA,NA
PP872108,NA-NA,NA,NA-NA,NA,0-1410,1
PP872107,NA-NA,NA,NA-NA,NA,0-1353,1
PP872106,0-2181,1,NA-NA,NA,NA-NA,NA
PP872105,0-753,1,NA-NA,NA,NA-NA,NA
PP872104,NA-NA,NA,NA-NA,NA,0-2256,1
PP872103,0-1815,1,NA-NA,NA,NA-NA,NA
PP872102,0-903,1,NA-NA,NA,NA-NA,NA
PP872101,0-633,1,NA-NA,NA,NA-NA,NA
PP872100,1-1116,1,NA-NA,NA,NA-NA,NA
PP872099,NA-NA,NA,NA-NA,NA,0-2541,1
PP872098,NA-NA,NA,0-1428,1,1420-3958,1
PP872097,0-2625,1,NA-NA,NA,NA-NA,NA
PP872096,0-2628,1,NA-NA,NA,NA-NA,NA
PP872095,NA-NA,NA,NA-NA,NA,0-1365,1
PP872094,NA-NA,NA,NA-NA,NA,0-2493,1
PP872093,NA-NA,NA,NA-NA,NA,0-1257,1
PP872092,NA-NA,NA,NA-NA,NA,0-1464,1
PP872091,0-1821,1,NA-NA,NA,NA-NA,NA
PP872090,0-2328,1,NA-NA,NA,NA-NA,NA
PP872089,NA-NA,NA,0-1002,1,NA-NA,NA
PP872088,0-2640,1,NA-NA,NA,NA-NA,NA
PP872087,0-2181,1,NA-NA,NA,NA-NA,NA
PP872086,0-2067,1,NA-NA,NA,NA-NA,NA
PP872085,NA-NA,NA,0-1125,1,1117-3430,1
PP872084,0-1566,1,NA-NA,NA,1510-3862,1
PP872083,0-777,1,NA-NA,NA,NA-NA,NA
PP872082,0-2004,1,NA-NA,NA,NA-NA,NA
PP872081,0-3510,1,NA-NA,NA,3319-5359,1
PP872080,NA-NA,NA,0-2490,1,NA-NA,NA
PP872079,0-3621,1,NA-NA,NA,3430-5476,1
PP872078,0-2625,1,NA-NA,NA,NA-NA,NA
PP872077,NA-NA,NA,NA-NA,NA,0-2469,1
PP872076,NA-NA,NA,NA-NA,NA,0-2475,1
PP872075,NA-NA,NA,NA-NA,NA,0-2595,1
PP872074,NA-NA,NA,0-1134,1,NA-NA,NA
PP872073,0-3513,1,NA-NA,NA,3319-5194,1
PP872072,0-939,1,NA-NA,NA,NA-NA,NA
PP872071,NA-NA,NA,NA-NA,NA,0-1536,1
PP872070,0-1458,1,NA-NA,NA,NA-NA,NA
PP872069,NA-NA,NA,0-441,1,433-2731,1
PP872068,NA-NA,NA,NA-NA,NA,0-2217,1
PP872067,NA-NA,NA,0-2478,1,NA-NA,NA
PP872066,0-2181,1,NA-NA,NA,NA-NA,NA
PP872065,0-1221,1,NA-NA,NA,1030-3079,1
PP872064,NA-NA,NA,0-684,1,676-3184,1
PP872063,NA-NA,NA,0-1014,1,NA-NA,NA
PP872062,0-1977,1,NA-NA,NA,NA-NA,NA
PP872061,NA-NA,NA,0-489,1,433-2821,1
PP872060,NA-NA,NA,0-1170,1,NA-NA,NA
PP872059,NA-NA,NA,0-1713,1,NA-NA,NA
PP872058,NA-NA,NA,0-849,1,NA-NA,NA
PP872057,0-705,1,NA-NA,NA,NA-NA,NA
PP872056,0-3621,1,NA-NA,NA,3430-5476,1
PP872055,0-2457,1,NA-NA,NA,NA-NA,NA
PP872054,0-1812,1,NA-NA,NA,NA-NA,NA
PP872053,0-2493,1,NA-NA,NA,NA-NA,NA
PP872052,NA-NA,NA,0-855,1,NA-NA,NA
PP872051,0-2640,1,NA-NA,NA,NA-NA,NA
PP872050,0-1791,1,NA-NA,NA,NA-NA,NA
PP872049,0-1140,1,NA-NA,NA,NA-NA,NA
PP872048,0-2628,1,NA-NA,NA,NA-NA,NA
PP872047,324-3834,1,NA-NA,NA,3643-5686,1
PP872046,NA-NA,NA,NA-NA,NA,0-2322,1
